percentageRatio,totalThreads,totalThroughput_mean_mybst,totalThroughput_mean_baseline,speedup,throughput_diff_pct
30i-20d-50f,1,2143113.0,14602380.0,0.14676463699753053,-85.32353630024694
30i-20d-50f,4,644632.0,14051334.0,0.04587692527983464,-95.41230747201654
30i-20d-50f,8,892648.0,11165327.0,0.07994821826534951,-92.00517817346505
30i-20d-50f,16,994502.0,7756230.0,0.1282197665618477,-87.17802334381523
30i-20d-50f,32,1135265.0,5532364.0,0.2052043213353279,-79.4795678664672
30i-20d-50f,64,1304076.0,2926873.0,0.4455526427009303,-55.44473572990697
3i-2d-95f,1,2139677.0,14597350.0,0.14657982442018586,-85.34201755798142
3i-2d-95f,4,2460777.0,15682244.0,0.15691485223670795,-84.3085147763292
3i-2d-95f,8,2617442.0,15303294.0,0.1710378170869618,-82.89621829130382
3i-2d-95f,16,4385033.0,16022248.0,0.27368400489119876,-72.63159951088012
3i-2d-95f,32,6528758.0,17179137.0,0.3800399286646355,-61.99600713353646
3i-2d-95f,64,9391555.0,17298881.0,0.542899566740762,-45.7100433259238
